Fecha,Total Viajeros,Viajeros Residentes en España,Viajeros Residentes en el Extranjero,Total Pernoctaciones,Pernoctaciones Residentes en España,Pernoctaciones Residentes en el Extranjero,Días de estancia media,Número de establecimientos abiertos estimados,Número de plazas estimadas,Grado de ocupación por plazas,Personal empleado,Ingresos por habitación disponible (RevPAR),Evolución interanual Viajeros,Evolución interanual Viajeros Españoles,Evolución interanual Viajeros Extranjeros,Variación Anual IPC Servicios de Alojamiento
2002-12-01,159401,77545,81856,601240,201899,399341,3.77,438,52488,36.77,9058,,6.92%,3.04%,10.87%,3.7
2002-11-01,187658,78106,109552,741945,199571,542374,3.95,447,52507,46.91,9494,,-0.66%,-9.01%,6.30%,3.7
2002-10-01,294554,97412,197141,1256097,300225,955872,4.26,487,65870,60.91,11515,,-1.01%,-8.34%,3.06%,4.9
2002-09-01,349240,137700,211540,1689112,541397,1147715,4.84,510,72430,75.49,12784,,-0.83%,-8.63%,5.01%,6.0
2002-08-01,386091,188664,197427,1972508,846798,1125711,5.11,528,73129,81.34,12891,,5.22%,3.08%,7.34%,3.8
2002-07-01,341295,159292,182004,1742234,645810,1096424,5.1,521,70823,74.65,12562,,-1.65%,-3.28%,-0.17%,5.9
2002-06-01,333115,131600,201515,1513005,410582,1102423,4.54,505,69510,70.16,12093,,-1.51%,-7.35%,2.73%,6.3
2002-05-01,343188,121905,221283,1412677,361672,1051006,4.12,500,68892,65.15,11626,,1.90%,4.69%,0.42%,6.8
2002-04-01,319497,111517,207980,1269889,332571,937317,3.97,486,66102,63.02,11214,,-7.04%,-15.44%,-1.82%,10.5
2002-03-01,307120,130330,176790,1225963,380425,845539,3.99,461,61165,63.55,10378,,15.11%,27.43%,7.46%,9.4
2002-02-01,192614,88643,103971,817109,216451,600657,4.24,408,57248,50.71,9610,,7.16%,17.49%,-0.31%,4.9
2002-01-01,131589,61691,69898,640902,167702,473200,4.87,377,54079,38.11,9253,,-7.58%,-2.35%,-11.75%,5.9
2001-12-01,149087,75256,73831,620820,203440,417380,4.16,507,53286,37.4,9332,,-10.80%,-7.86%,-13.61%,
2001-11-01,188901,85837,103064,831958,239913,592045,4.4,511,55155,50.01,10085,,-0.10%,18.08%,-11.45%,
2001-10-01,297564,106276,191288,1306374,351321,955053,4.39,534,65593,63.37,12905,,-8.23%,-6.01%,-9.42%,
2001-09-01,352159,150712,201448,1699800,597370,1102430,4.83,558,69962,78.35,13565,,-1.65%,6.69%,-7.08%,
2001-08-01,366949,183021,183928,2020000,868568,1151432,5.5,560,69860,84.91,13832,,3.96%,7.41%,0.74%,
2001-07-01,347012,164697,182315,1819984,704628,1115356,5.24,559,69727,78.41,13386,,5.74%,10.67%,1.65%,
2001-06-01,338212,142047,196164,1585235,469941,1115294,4.69,546,68909,74.23,12711,,3.30%,10.41%,-1.30%,
2001-05-01,336794,116444,220349,1439655,361017,1078638,4.27,542,68351,66.87,12295,,1.52%,10.40%,-2.62%,
2001-04-01,343704,131875,211829,1359881,432287,927593,3.96,526,64363,69.28,11476,,-0.61%,5.22%,-3.92%,
2001-03-01,266795,102272,164524,1132321,290500,841821,4.24,499,56210,64.58,10373,,2.87%,19.23%,-5.21%,
2001-02-01,179740,75447,104293,805542,203294,602248,4.48,483,53188,53.78,9640,,-1.02%,2.01%,-3.10%,
2001-01-01,142384,63178,79206,639780,180571,459210,4.49,474,49417,41.53,9613,,6.99%,24.72%,-3.90%,
2000-12-01,167132,81672,85460,688872,230090,458782,4.1,..,..,46.0,8681,,14.84%,14.00%,15.64%,
2000-11-01,189088,72693,116395,827013,206957,620056,4.4,..,..,58.2,9022,,6.15%,20.19%,-1.07%,
2000-10-01,324258,113069,211189,1360540,343562,1016978,4.2,..,..,69.9,11609,,16.56%,27.72%,11.35%,
2000-09-01,358056,141259,216797,1605867,517179,1088688,4.5,..,..,81.1,12191,,12.14%,20.80%,7.14%,
2000-08-01,352966,170391,182575,1860248,763637,1096611,5.3,..,..,86.1,12259,,8.76%,15.20%,3.36%,
2000-07-01,328171,148815,179356,1689482,629431,1060051,5.2,..,..,78.2,12209,,3.25%,6.10%,1.00%,
2000-06-01,327405,128656,198749,1543923,448471,1095452,4.7,..,..,77.4,11747,,-8.75%,-8.16%,-9.12%,
2000-05-01,331755,105474,226281,1375039,314954,1060085,4.1,..,..,72.4,10816,,4.18%,-0.53%,6.53%,
2000-04-01,345808,125338,220470,1404018,386435,1017583,4.1,..,..,75.6,10768,,19.57%,26.46%,15.97%,
2000-03-01,259342,85775,173567,1195456,280127,915329,4.6,..,..,70.1,9674,,23.33%,12.54%,29.46%,
2000-02-01,181588,73959,107629,856208,207651,648557,4.7,..,..,58.9,9026,,17.01%,7.21%,24.86%,
2000-01-01,133078,50657,82421,667559,173311,494248,5.0,..,..,45.8,8649,,11.17%,-1.20%,20.44%,
1999-12-01,145539,71640,73899,692358,237945,454413,4.8,..,..,49.2,8230,,,,,
1999-11-01,178141,60484,117657,860777,201884,658893,4.8,..,..,61.9,8613,,,,,
1999-10-01,278194,88527,189667,1311808,293536,1018272,4.7,..,..,72.2,10202,,,,,
1999-09-01,319292,116939,202353,1582377,454230,1128147,5.0,..,..,83.4,11275,,,,,
1999-08-01,324545,147906,176639,1903934,709496,1194438,5.9,..,..,88.6,11198,,,,,
1999-07-01,317834,140261,177573,1736970,586947,1150023,5.5,..,..,82.9,9830,,,,,
1999-06-01,358792,140088,218704,1457980,389897,1068083,4.1,..,..,75.9,8860,,,,,
1999-05-01,318446,106038,212408,1307389,274316,1033073,4.1,..,..,69.7,9245,,,,,
1999-04-01,289216,99110,190106,1298886,377482,921404,4.5,..,..,73.7,8774,,,,,
1999-03-01,210285,76215,134070,1026218,267865,758353,4.9,..,..,65.9,7797,,,,,
1999-02-01,155186,68985,86201,758787,234452,524335,4.9,..,..,60.1,7175,,,,,
1999-01-01,119702,51271,68431,653132,201607,451525,5.5,..,..,48.9,6959,,,,,
